  A0  OK (132 files + aggregate 99 parts)
  A1  OK (channel first-hit as frozen)
  A2  OK (60×7 比对；过短跳过 23 项)
  A3  OK (18 packs rebuilt byte-identical, sha256 == MANIFEST)
  A4  OK (8 arms totals: {'baseline_claude': 292332, 'baseline_qwen': 292332, 'baseline_deepseek': 292332, 'baseline_minimax': 292332, 'trivial_claude': 299232, 'trivial_v2': 305892, 'trivial_v3': 303552, 'governance_informed': 1372803})
  A7  OK (60 题; {'value': 33, 'rewrite': 12, 'refusal': 15}; refusal_reasons {'anchor-mismatch': 5, 'missing-caliber': 3, 'disclosure-blocked': 3, 'out-of-validity': 4})
  baseline_qwen        W1-Q2      execution_error
  baseline_qwen        W1-Q3      refused_should_answer
  baseline_qwen        W1-Q4      refused_should_answer
  baseline_qwen        W1-Q5      answered_should_refuse
[baseline_qwen] calls=60 cached=0 empty=0 correct=17/60 errors=43
  baseline_deepseek    CA-Q1      wrong_value
  baseline_deepseek    CA-Q2      refused_should_answer
  baseline_deepseek    CA-Q3      refused_should_answer
  baseline_deepseek    CA-Q4      refused_should_answer
  baseline_deepseek    CA-Q5      execution_error
  baseline_deepseek    CA-Q6      answered_should_refuse
  baseline_deepseek    CARD-Q1    correct
  baseline_deepseek    CARD-Q2    refused_should_answer
  baseline_deepseek    CARD-Q3    wrong_value
  baseline_deepseek    CARD-Q4    correct
  baseline_deepseek    CARD-Q5    correct
  baseline_deepseek    CARD-Q6    correct
  baseline_deepseek    CARD-Q7    correct
  baseline_deepseek    CODE-Q1    refused_should_answer
  baseline_deepseek    CODE-Q2    refused_should_answer
  baseline_deepseek    CODE-Q3    refused_should_answer
  baseline_deepseek    CODE-Q4    wrong_value
  baseline_deepseek    CODE-Q5    execution_error
  baseline_deepseek    CODE-Q6    refused_should_answer
  baseline_deepseek    CODE-Q7    answered_should_refuse
  baseline_deepseek    DEB-Q1     refused_should_answer
  baseline_deepseek    DEB-Q2     execution_error
  baseline_deepseek    DEB-Q3     refused_should_answer
  baseline_deepseek    DEB-Q4     execution_error
  baseline_deepseek    DEB-Q5     wrong_value
  baseline_deepseek    DEB-Q6     answered_should_refuse
  baseline_deepseek    DEB-Q7     correct
  baseline_deepseek    EF2-Q1     execution_error
  baseline_deepseek    EF2-Q2     correct
  baseline_deepseek    EF2-Q3     correct
  baseline_deepseek    EF2-Q4     correct
  baseline_deepseek    EF2-Q5     answered_should_refuse
  baseline_deepseek    EF2-Q6     correct
  baseline_deepseek    FIN-Q1     refused_should_answer
  baseline_deepseek    FIN-Q2     wrong_value
  baseline_deepseek    FIN-Q3     refused_should_answer
  baseline_deepseek    FIN-Q4     refused_should_answer
  baseline_deepseek    FIN-Q5     correct
  baseline_deepseek    FIN-Q6     correct
  baseline_deepseek    FIN-Q7     answered_should_refuse
  baseline_deepseek    FIN-Q8     answered_should_refuse
  baseline_deepseek    F1-Q1      refused_should_answer
  baseline_deepseek    F1-Q2      wrong_value
  baseline_deepseek    F1-Q3      wrong_value
  baseline_deepseek    F1-Q4      execution_error
  baseline_deepseek    F1-Q5      refused_should_answer
  baseline_deepseek    F1-Q6      correct
  baseline_deepseek    F1-Q7      answered_should_refuse
  baseline_deepseek    F1-Q8      correct
  baseline_deepseek    TH-Q1      wrong_value
  baseline_deepseek    TH-Q2      correct
  baseline_deepseek    TH-Q3      wrong_value
  baseline_deepseek    TH-Q4      refused_should_answer
  baseline_deepseek    TH-Q5      answered_should_refuse
  baseline_deepseek    TH-Q6      correct
  baseline_deepseek    W1-Q1      refused_should_answer
  baseline_deepseek    W1-Q2      refused_should_answer
  baseline_deepseek    W1-Q3      wrong_value
  baseline_deepseek    W1-Q4      refused_should_answer
  baseline_deepseek    W1-Q5      answered_should_refuse
[baseline_deepseek] calls=60 cached=0 empty=0 correct=16/60 errors=44
  baseline_minimax     CA-Q1      wrong_value
  baseline_minimax     CA-Q2      execution_error
  baseline_minimax     CA-Q3      correct
  baseline_minimax     CA-Q4      correct
  baseline_minimax     CA-Q5      execution_error
  baseline_minimax     CA-Q6      answered_should_refuse
  baseline_minimax     CARD-Q1    correct
  baseline_minimax     CARD-Q2    execution_error
  baseline_minimax     CARD-Q3    execution_error
  baseline_minimax     CARD-Q4    execution_error
  baseline_minimax     CARD-Q5    correct
  baseline_minimax     CARD-Q6    correct
  baseline_minimax     CARD-Q7    answered_should_refuse
  baseline_minimax     CODE-Q1    execution_error
  baseline_minimax     CODE-Q2    wrong_value
  baseline_minimax     CODE-Q3    wrong_value
  baseline_minimax     CODE-Q4    wrong_value
  baseline_minimax     CODE-Q5    execution_error
  baseline_minimax     CODE-Q6    wrong_value
  baseline_minimax     CODE-Q7    answered_should_refuse
  baseline_minimax     DEB-Q1     execution_error
  baseline_minimax     DEB-Q2     execution_error
  baseline_minimax     DEB-Q3     execution_error
  baseline_minimax     DEB-Q4     execution_error
  baseline_minimax     DEB-Q5     wrong_value
  baseline_minimax     DEB-Q6     answered_should_refuse
  baseline_minimax     DEB-Q7     answered_should_refuse
  baseline_minimax     EF2-Q1     wrong_value
  baseline_minimax     EF2-Q2     correct
  baseline_minimax     EF2-Q3     correct
  baseline_minimax     EF2-Q4     correct
  baseline_minimax     EF2-Q5     answered_should_refuse
  baseline_minimax     EF2-Q6     correct
  baseline_minimax     FIN-Q1     execution_error
  baseline_minimax     FIN-Q2     execution_error
  baseline_minimax     FIN-Q3     execution_error
  baseline_minimax     FIN-Q4     correct
  baseline_minimax     FIN-Q5     correct
  baseline_minimax     FIN-Q6     correct
  baseline_minimax     FIN-Q7     answered_should_refuse
  baseline_minimax     FIN-Q8     answered_should_refuse
  baseline_minimax     F1-Q1      execution_error
  baseline_minimax     F1-Q2      execution_error
  baseline_minimax     F1-Q3      wrong_value
  baseline_minimax     F1-Q4      execution_error
  baseline_minimax     F1-Q5      execution_error
  baseline_minimax     F1-Q6      correct
  baseline_minimax     F1-Q7      answered_should_refuse
  baseline_minimax     F1-Q8      answered_should_refuse
  baseline_minimax     TH-Q1      execution_error
  baseline_minimax     TH-Q2      correct
  baseline_minimax     TH-Q3      wrong_value
  baseline_minimax     TH-Q4      execution_error
  baseline_minimax     TH-Q5      answered_should_refuse
  baseline_minimax     TH-Q6      answered_should_refuse
  baseline_minimax     W1-Q1      execution_error
  baseline_minimax     W1-Q2      execution_error
  baseline_minimax     W1-Q3      execution_error
  baseline_minimax     W1-Q4      execution_error
  baseline_minimax     W1-Q5      answered_should_refuse
[baseline_minimax] calls=60 cached=0 empty=0 correct=14/60 errors=46
{
 "baseline_claude": {
  "calls": 39,
  "cached": 21,
  "empty": 1,
  "errors": 36,
  "correct": 24,
  "voided(empty>=3)": false
 },
 "baseline_qwen": {
  "calls": 60,
  "cached": 0,
  "empty": 0,
  "errors": 43,
  "correct": 17,
  "voided(empty>=3)": false
 },
 "baseline_deepseek": {
  "calls": 60,
  "cached": 0,
  "empty": 0,
  "errors": 44,
  "correct": 16,
  "voided(empty>=3)": false
 },
 "baseline_minimax": {
  "calls": 60,
  "cached": 0,
  "empty": 0,
  "errors": 46,
  "correct": 14,
  "voided(empty>=3)": false
 }
}
